#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,UnionRewindInclude
698,Ash Kaashh,"1nonly,lilbubblegum",59,117,"phonk, ",Hip Hop,Ash Kaashh,9/8/2020,2:11,65,71,69,0,67,30,20,-8,G#/A♭ Minor,4,3/14/2025,2XTNng3KSth6MNRzHGspnO,1nonly,1A,TCAFC2046561,1
699,Aces in Exile,Sabaton,47,115,"power metal, metal, pirate metal, heavy metal, melodic metal",Metal,Coat of Arms,5/21/2010,4:22,29,98,0,0,47,10,20,-3,F#/G♭ Minor,3,3/14/2025,2xx83LEqdCoFKwFdid4ZS1,Nuclear Blast,11A,DED831000161,1
700,Calion,Anna Meredith,18,109,,,FIBS,10/25/2019,5:06,64,38,16,84,13,0,10,-12,C♯/D♭ Major,4,3/14/2025,0p2mTY5mnZyuWuD9M8O4MT,Black Prince Fury,3B,GBGEY1900034,1
701,My Kink Is Karma,Chappell Roan,75,87,,,The Rise and Fall of a Midwest Princess,9/22/2023,3:42,56,60,1,0,42,0,10,-6,D Major,4,3/14/2025,32fSZSbxeVoiZShMQKLc6Z,Chappell Roan PS/ Island,10B,USUG12302737,1
702,Buttercup,Hippo Campus,57,109,,,Landmark,2/24/2017,3:46,62,76,20,0,20,0,10,-4,A Major,4,3/14/2025,6iCJCZqDJjmBxt07Oid6FI,Grand Jury (RED),11B,QM5BK1600122,1
703,Shampoo Bottles,Peach Pit,60,107,,,You and Your Friends,4/3/2020,3:44,65,44,2,0,33,0,0,-10,G#/A♭ Major,4,3/14/2025,2INUkDPCO1eQlOFmIN5VAC,Columbia,4B,USSM11914411,1
704,She,"Tyler, The Creator,Frank Ocean",77,83,,,Goblin,5/9/2011,4:13,35,62,26,0,46,20,60,-6,G#/A♭ Minor,4,3/14/2025,0SA0mMXWh23raZ6xzOCU2V,XL Recordings,1A,GBBKS1100033,1
705,N95,Kendrick Lamar,76,140,"hip hop, west coast hip hop",Hip Hop,Mr. Morale & The Big Steppers,5/13/2022,3:15,79,67,38,0,41,10,10,-6,C♯/D♭ Major,4,3/14/2025,0fX4oNGBWO3dSGUZcVdVV2,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,3B,USUM72208963,1
706,Dance Alone,Blanks,34,172,,,Dance Alone,4/10/2020,2:34,46,84,17,0,70,0,20,-6,E Major,4,3/14/2025,4c7KKGVfRKTZB6iAUoiQzM,Music By Blanks,12B,NL1XK2000001,1
707,Feed the Machine,Poor Man's Poison,70,176,gothic country,Country,Feed the Machine,7/17/2020,3:03,64,45,46,0,77,10,40,-11,E Minor,4,3/14/2025,40wmXUgVB0N5eLK8CuOhm3,Poor Man's Poison,9A,TCAEZ2046970,1
708,Out Of My Mind,Gentrammel,60,78,,,Out Of My Mind,6/10/2020,2:53,61,61,66,0,66,0,60,-7,A Major,4,3/14/2025,01UeBfllW39eaKdiCw556R,Promoting Sounds / Gentrammel under exclusive license to Amuseio AB,11B,QZES92011614,1
709,Fearless Hero,"Antonio Banderas,Heitor Pereira",45,126,"mariachi, ",Latin,Puss in Boots: The Last Wish (Original Motion Picture Soundtrack),12/16/2022,4:57,40,69,7,2,21,0,10,-10,D Major,4,3/14/2025,3l4lZCP4L9BfpZEireEhYw,Back Lot Music,10B,USQ4E2203559,1
710,Reckless Abandon,blink-182,53,125,"pop punk, punk, emo pop, rock, skate punk, emo","Rock, Pop, Metal",Take Off Your Pants And Jacket,2001-00-00,3:06,50,96,0,0,50,10,30,-4,B Major,4,3/14/2025,4N9fFHRxns1B86F8YTneBz,Geffen*,1B,USMC10110879,1
711,Congratulations (feat. Bilal),"Mac Miller,Bilal",77,58,neo soul,R&B,The Divine Feminine,9/16/2016,4:16,47,23,95,0,21,0,10,-13,E Minor,4,3/14/2025,1OubIZ0ARYCUq5kceYUQiO,Warner Records,9A,USWB11601434,1
712,She Bad,Khantrast,62,170,"anime rap, nerdcore, anime, meme rap","Pop, Hip Hop",She Bad,1/22/2022,1:45,59,85,12,0,66,20,10,-5,D Major,4,3/14/2025,0VjBlyHOKvMwbSdMmyiFEp,New 11 Records,10B,QZFZ32227044,1
713,Georgia,Vance Joy,12,144,folk pop,Pop,Dream Your Life Away (Special Edition),9/8/2014,3:50,39,66,31,0,40,0,0,-7,B Major,4,3/14/2025,429EttO8gs0bDo2SQfUNSm,Atlantic Records,1B,USAT21402869,1
714,Quittin’ Time,Morgan Wallen,60,84,country,Country,Dangerous: The Double Album,1/8/2021,3:44,42,63,46,0,46,0,10,-8,F Major,4,3/14/2025,7MFuhP7p3fPQc8sYyeWL1x,Big Loud / Republic,7B,USUG12004221,1
715,Call Your Mom,Noah Kahan,77,172,,,Stick Season (We'll All Be Here Forever),6/9/2023,4:38,49,22,70,0,16,0,10,-12,C Major,4,3/14/2025,3yn01PcU95PTbiZ3xvop2j,Mercury Records/Republic Records,8B,USUM72307686,1
716,Shell Suite,Chad Valley,38,94,"chillwave, indie electronic",Rock,Equatorial Ultravox,6/20/2011,4:22,42,67,0,21,25,0,10,-7,A Major,4,3/14/2025,7qeuKRyUjXehDIz9FRYiAM,Cascine,11B,USA2B1200493,1
717,WHERE SHE GOES,Bad Bunny,68,144,"reggaeton, trap latino, latin, urbano latino",Latin,nadie sabe lo que va a pasar mañana,10/13/2023,3:51,65,80,14,63,22,0,10,-4,A Minor,4,3/14/2025,2sTDlCxmuZCTDKKk9f1qus,Rimas Entertainment LLC,8A,QM6P42352188,1
718,Todo,Hakuna Group Music,45,88,,,Qaos,8/18/2022,1:12,62,24,71,0,35,0,10,-12,A Major,4,3/14/2025,32AudWhiMVnj7j4gbdzxTX,Hakuna Group Music,11B,GBMJG2218314,1
719,Ranjha (From  Shershaah ),"Jasleen Royal,B Praak,Romy",73,83,"hindi pop, bollywood, gujarati pop, desi, hindi indie, desi pop, punjabi pop, sufi","Hip Hop, Pop, Rock, Traditional music",Ranjha (From  Shershaah ),8/5/2021,3:48,60,57,48,0,24,0,10,-6,C♯/D♭ Major,4,3/14/2025,72zHuDxFQTjbL51qJQSA7j,Sony Music Entertainment India Pvt. Ltd.,3B,INS172102719,1
720,El Buho,Luis R Conriquez,64,113,"corrido, corridos bélicos, corridos tumbados, electro corridos, banda, sad sierreño, sierreño, música mexicana",Latin,El Buho,12/30/2019,2:56,92,54,70,0,94,0,0,-6,C Minor,3,3/14/2025,1LwuBjjFT9Wc8qJqQV5xia,Kartel Music,5A,USCGH2080648,1
721,Pain,PinkPantheress,81,126,bedroom pop,Pop,to hell with it,10/15/2021,1:38,83,62,23,0,81,10,0,-8,C♯/D♭ Major,4,3/14/2025,4S4QJfBGGrC8jRIjJHf1Ka,Parlophone UK,3B,QZFZ52145391,1
722,Carolina,American Beauty,20,98,"midwest emo, math rock",Rock,American Beauty,1/17/2020,3:02,50,97,0,1,54,0,10,-5,B Major,4,3/14/2025,6Lhf8TiEnnO8YrxL8wvpEu,Mourning Records,1B,QZK6P1983380,1
723,Earned It (Fifty Shades Of Grey),The Weeknd,73,120,,,Beauty Behind The Madness,8/28/2015,4:37,66,29,41,0,41,0,0,-8,D Minor,3,3/14/2025,4frLb7nWtsz2ymBE6k2GRP,Universal Republic Records,7A,USUG11500923,1
724,Carousel - Live/1999,blink-182,34,115,"pop punk, punk, emo pop, rock, skate punk, emo","Rock, Pop, Metal","The Mark, Tom And Travis Show (The Enema Strikes Back!) [Live]",2000-00-00,3:38,27,98,0,0,9,10,70,-6,D Major,4,3/14/2025,744DXUQorqDw1S5cywaXvm,Geffen*,10B,USMC10001278,1
725,23,Chayce Beckham,65,88,country,Country,23,5/14/2021,3:48,63,58,28,0,43,0,10,-7,C Minor,4,3/14/2025,1ZpPaBDswjV3VSUKqLDXPE,BMG Rights Management (US) LLC,5A,QMRSZ2101045,1
726,Vamp Anthem,Playboi Carti,71,164,rage rap,Hip Hop,Whole Lotta Red,12/25/2020,2:04,64,69,1,0,64,20,30,-5,B Major,4,3/14/2025,4CzhtKifG867Lu5DNQVBSA,AWGE/Interscope Records,1B,USUM72024688,1
727,90210 (feat. Kacy Hill),"Travis Scott,Kacy Hill",79,81,"rap, ",Hip Hop,Rodeo,9/4/2015,5:39,40,53,11,0,31,0,10,-7,A Minor,4,3/14/2025,51EC3I1nQXpec4gDk0mQyP,Cactus Jack / Epic,8A,USSM11506731,1
728,Something Special,Pop Smoke,62,91,"brooklyn drill, drill, new york drill",Hip Hop,Shoot For The Stars Aim For The Moon,7/3/2020,2:38,74,62,25,0,65,0,10,-7,G Minor,4,3/14/2025,5kkaSMcf4BFlhRRICCKZb6,Victor Victor Worldwide,6A,USUM72013344,1
729,California,Sons Of The East,58,83,"folk pop, indie folk, folk","Folk/Acoustic, Pop",Sons Of The East,8/2/2013,3:42,25,66,14,0,53,0,10,-7,C Major,4,3/14/2025,46BuJdwxV43a6qLrICP27l,Sons Of The East Music,8B,AUGNB1300005,1
730,RIP,Mariah the Scientist,47,129,alternative r&b,R&B,RY RY WORLD,7/9/2021,2:48,40,46,0,0,17,0,50,-9,D#/E♭ Minor,4,3/14/2025,5aHa9boa3jJR0hnMtKvcck,One Umbrella/RCA Records,2A,USRC12001647,1
731,’98 Braves,Morgan Wallen,67,142,country,Country,One Thing At A Time,3/3/2023,2:58,49,69,7,0,47,0,20,-6,D Major,4,3/14/2025,3oZ6dlSfCE9gZ55MGPJctc,Big Loud Records / Mercury Records / Republic Records,10B,USUG12300806,1
732,Real,"Kendrick Lamar,Anna Wise",61,100,"hip hop, west coast hip hop, alternative r&b","R&B, Hip Hop","good kid, m.A.A.d city (Deluxe)",2012-00-00,7:23,65,46,3,0,17,10,60,-12,C♯/D♭ Major,4,3/14/2025,5d8yMIlqJH78lwOUP7T3oF,Aftermath,3B,USUM71211005,1
733,我想要佔據你,告五人,52,125,"taiwanese indie, chinese indie, mandopop, taiwanese pop, c-pop, chinese rock","Pop, Rock",帶你飛,2/14/2023,4:12,77,56,37,0,71,10,0,-9,C♯/D♭ Minor,4,3/14/2025,14GFYAUxkeXranhS2qrYIZ,Bin Music International Limited,12A,TWK232314803,1
734,Plain Jane REMIX (feat. Nicki Minaj),"A$AP Ferg,Nicki Minaj",67,170,"rap, ",Hip Hop,Plain Jane REMIX (feat. Nicki Minaj),12/15/2017,3:22,79,84,6,0,38,20,20,-4,B Major,4,3/14/2025,2YzmfPLqUx5CJOaw5ThsBV,A$AP Worldwide/Polo Grounds Music/RCA Records,1B,USRC11703649,1
735,IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini,66,144,country,Country,SUBJECT TO CHANGE,9/23/2022,2:46,68,86,45,0,97,0,10,-4,B Major,4,3/14/2025,1jX9wlAgVkAl0fCZqkCI73,Black River Entertainment,1B,QM6N22289720,1
736,Promiscuous,"Nelly Furtado,Timbaland",84,114,,,Loose,1/1/2006,4:02,81,97,6,0,87,0,10,-6,A#/B♭ Minor,4,3/14/2025,2gam98EZKrF9XuOkU13ApN,Mosley / Geffen,3A,USUM70603473,1
737,Cyclone (feat. T-Pain),"Baby Bash,T-Pain",55,78,,,Cyclone (feat. T-Pain),4/5/2007,3:42,64,72,1,0,58,0,10,-4,B Major,4,3/14/2025,27mhCGdAA8gM7b33KIiB3k,Arista,1B,USAR10700266,1
738,Fly Love,Jamie Foxx,59,115,,,Rio: Music From The Motion Picture,1/1/2011,2:39,60,29,79,0,35,0,0,-13,G Major,4,3/14/2025,7Ld6hA2qsLEXPn39FfuHwb,Will I Am / A&M,9B,USFM91100005,1
739,Late Night Drive,Mustard Service,45,128,,,Variety Pack,8/4/2023,3:55,69,53,19,4,48,0,10,-10,B Minor,4,3/14/2025,6qJNqxNmOZuQUZckn2dLZB,Mustard Service,10A,QZNJV2327603,1
740,Redecorate,Twenty One Pilots,61,83,,,Scaled And Icy,5/21/2021,4:05,63,65,16,0,40,0,0,-7,G#/A♭ Minor,4,3/14/2025,2XPmTamsj7d9i3gzLCL4JI,Fueled By Ramen,1A,USAT22101338,1
741,"T'es beau, t'es beau",Joyce Jonathan,27,86,"french pop, variété française, chanson","Easy listening, Pop",Les p'tites jolies choses,3/11/2022,2:58,55,59,68,0,43,0,10,-7,C♯/D♭ Major,4,3/14/2025,6Z7wCBamP5bCrcsCkz2BFW,2100 records,3B,FR0Q92201908,1
742,ARE YOU WITH THAT?,Vince Staples,41,126,,,ARE YOU WITH THAT?,7/6/2021,2:18,86,42,54,0,56,20,10,-11,C♯/D♭ Minor,4,3/14/2025,0du80hkIk5zQfc4oLNUfKx,Blacksmith Recordings/Motown Records,12A,USUM72104401,1
743,Fentanyl Tester,"JPEGMAFIA,Danny Brown",50,159,"experimental hip hop, alternative hip hop, experimental","Hip Hop, Rock",SCARING THE HOES,3/24/2023,2:37,73,95,30,0,80,30,80,-2,C Major,4,3/14/2025,4pfhCrRk6P2tMU2D0Mb2z5,"2023 PEGGY under exclusive license to AWAL Recordings America, Inc.",8B,QM4TX2336615,1
744,Pretty Boy,The Neighbourhood,75,155,,,Chip Chrome & The Mono-Tones,9/25/2020,3:54,58,39,21,5,57,0,30,-11,F#/G♭ Major,4,3/14/2025,7IL8PSVwLOJxqYne6azxQv,Columbia,2B,USSM12003780,1
745,What Are You Listening To?,Chris Stapleton,70,162,country,Country,What Are You Listening To?,1/1/2013,4:05,56,55,19,0,41,0,10,-9,A#/B♭ Major,4,3/14/2025,3KZw9g7PNBBx66sHNqme6Z,Mercury Nashville,6B,USUM71304443,1
746,That's All,Genesis,47,88,"progressive rock, symphonic rock, art rock",Rock,Turn It on Again: The Hits,10/25/1999,4:24,70,65,25,1,78,0,0,-7,E Minor,4,3/14/2025,00pGaOhIq27ToaysOlbIGW,Rhino Atlantic,9A,USRHD0900197,1
747,Open Arms (feat. Travis Scott),"SZA,Travis Scott",75,78,"r&b, rap","R&B, Hip Hop",SOS,12/9/2022,3:59,67,59,76,1,22,10,10,-8,A Major,4,3/14/2025,0xaFw2zDYf1rIJWl2dXiSF,Top Dawg Entertainment/RCA Records,11B,USRC12204602,1
748,the last great american dynasty,Taylor Swift,67,148,,,folklore,7/24/2020,3:50,69,66,47,0,71,0,10,-9,G Major,4,3/14/2025,2Eeur20xVqfUoM3Q7EFPFt,Taylor Swift,9B,USUG12002837,1
749,In This Shirt,The Irrepressibles,71,80,,,Mirror Mirror,10/1/2010,5:35,29,39,69,38,4,0,10,-10,A Major,4,3/14/2025,14QX1ckbDIhqetvu5VZ3cP,Of Naked Design Recordings,11B,GBUM70916171,1
750,Evergreen,Richy Mitch & The Coal Miners,82,79,,,RMCM,5/17/2017,1:27,56,22,56,0,50,0,10,-12,D#/E♭ Major,3,3/14/2025,6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,5B,SEYOK1732035,1
751,JUST LIKE YOU,NF,64,140,christian hip hop,Hip Hop,CLOUDS (THE MIXTAPE),3/26/2021,4:11,78,76,49,0,54,20,20,-5,A Minor,4,3/14/2025,7tTRFVlFzk6yTnoMcParmi,NF Real Music,8A,USUM72101211,1
752,Notion,The Rare Occasions,79,159,,,Notion,12/2/2021,3:15,31,88,7,0,31,0,0,-4,A Major,4,3/14/2025,0sTlGEld0h8kIPZaKDYUf4,Elektra (NEK),11B,USHM21617726,1
753,Mortal Projections,Djo,52,140,psychedelic pop,Pop,Twenty Twenty,9/13/2019,3:08,57,43,6,0,45,0,10,-9,D Minor,4,3/14/2025,2lW2ptxkUmhf9Z8zcj7fbj,Djo,7A,GBKPL1963391,1
754,I Know The End,Phoebe Bridgers,74,112,,,Punisher,6/18/2020,5:44,32,32,33,2,26,0,20,-10,C♯/D♭ Major,4,3/14/2025,0pJW1Xw3aY4Eh6k5iuBkfI,Dead Oceans,3B,USJ5G2020011,1
755,Chimera (feat. Lil West),"Polyphia,Lil West",49,105,"math rock, djent, progressive metal, progressive rock, ","Metal, Rock",Remember That You Will Die,10/28/2022,3:56,66,84,4,13,49,0,10,-5,G#/A♭ Major,4,3/14/2025,3VSmxfoGlLGSeyMDyJp6QN,Rise Records,4B,QMRSZ2200020,1
756,fly sht,Destroy Lonely,58,128,rage rap,Hip Hop,If Looks Could Kill,5/5/2023,3:30,80,59,0,0,43,10,10,-6,G#/A♭ Minor,4,3/14/2025,2V875q2TKxJrT3jR4TyKEE,Opium/Interscope,1A,USUM72305813,1
757,Forever After All,Luke Combs,75,152,country,Country,What You See Ain't Always What You Get (Deluxe Edition),10/23/2020,3:52,49,65,19,0,46,0,0,-5,C Major,4,3/14/2025,6IBcOGPsniK3Pso1wHIhew,River House Artists/Columbia Nashville,8B,US6XF2000192,1
758,I Came Thru,YoungBoy Never Broke Again,65,158,,,Realer,12/20/2018,2:41,59,54,18,0,20,20,10,-9,B Minor,4,3/14/2025,2umdwsJRuFHBRw8TCQmYbq,"Never Broke Again, LLC",10A,USAT21813096,1
759,After Dark,Mr.Kitty,76,140,"witch house, darkwave","Metal, Electronic",Time,10/6/2014,4:19,59,60,7,27,4,0,0,-10,G#/A♭ Major,4,3/14/2025,2LKOHdMsL0K9KwcPRlJK2v,Negative Gain Productions,4B,USY251660155,1
760,One of These Days,Bedouine,47,82,chamber pop,Pop,Bedouine (Deluxe),6/23/2017,2:58,73,42,60,9,74,0,10,-13,G Major,4,3/14/2025,3azlo5j5KZPq3qlFlGSDiH,Spacebomb,9B,QMDN21700013,1
761,"Burn, Burn, Burn",Zach Bryan,78,83,"country, red dirt",Country,"Burn, Burn, Burn",9/8/2022,4:28,51,30,90,0,13,0,10,-11,D#/E♭ Major,4,3/14/2025,5jfhLCSIFUO4ndzNRh4w4G,Warner Records,5B,USWB12205041,1
762,We'll Never Have Sex,Leith Ross,65,174,,,We'll Never Have Sex,3/25/2022,1:39,37,7,96,0,44,0,10,-17,D Major,3,3/14/2025,4zXuYQNDmw3dlauyc8q3Kd,Republic Records,10B,USUM72203822,1
763,I Wrote The Book,Morgan Wallen,53,144,country,Country,3 Songs At A Time Sampler,1/31/2023,3:01,69,83,6,0,83,0,0,-4,D Major,4,3/14/2025,4w9lk0Nyj7kuDxlL5PZVlv,Big Loud Records / Mercury Records / Republic Records,10B,USUG12300808,1
764,Body Talk (feat. Julian Perretta),"Dimitri Vegas,MOGUAI,Like Mike,Julian Perretta",55,128,"electronica, big room, ",Electronic,Body Talk (feat. Julian Perretta),9/15/2014,3:27,56,89,0,0,67,20,50,-6,B Minor,4,3/14/2025,5f81OYKJrKj791fvkh0fhe,Spinnin' Records,10A,NLZ541400699,1
765,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby,Gunna,Drake",69,132,"melodic rap, rap, hip hop",Hip Hop,Drip Harder,10/5/2018,3:14,75,69,7,0,89,20,10,-5,C♯/D♭ Minor,4,3/14/2025,6wWaVoUOzLQJHd3bWAUpdZ,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",12A,USUG11801946,1
766,The World We Knew (Over And Over),Frank Sinatra,70,93,"christmas, big band, adult standards, swing music, vocal jazz, jazz","Easy listening, Jazz",The World We Knew,1967-08,2:47,34,42,76,0,49,0,10,-12,A#/B♭ Minor,3,3/14/2025,62KZRwymXq9Rgm8Cm5UCfx,FRANK SINATRA DIGITAL REPRISE,3A,USRH10800987,1
767,How Will I Know,Whitney Houston,72,119,,,Whitney Houston,2/14/1985,4:29,83,54,20,0,93,0,60,-13,F#/G♭ Major,4,3/14/2025,5tdKaKLnC4SgtDZ6RlWeal,Arista,2B,USAR18500150,1
768,Ambitionz Az A Ridah,2Pac,76,87,"gangster rap, west coast hip hop, g-funk, hip hop",Hip Hop,All Eyez On Me,2/13/1996,4:38,80,91,0,0,81,20,0,-7,D Major,4,3/14/2025,5g9lS8deSIxItFBmZRC4vN,"Amaru Entertainment, Inc./Interscope Records",10B,USKO10403591,1
769,Time in a Bottle,Jim Croce,62,134,"folk rock, singer-songwriter","Rock, Folk/Acoustic",Photographs & Memories: His Greatest Hits,9/26/1974,2:28,53,16,89,0,59,0,10,-17,D Major,3,3/14/2025,20A2Xe76p9wxUFLbbzZjTM,BMG Rights Management (US) LLC,10B,USRHD0804163,1
770,a really damn long day,Gus Glasser,31,141,,,Days After South Africa,11/4/2022,3:41,69,63,73,0,13,10,10,-6,A Minor,4,3/14/2025,65nO9E7ih96q2JNKWro9CT,"Gus Glasser Has A Huge, LLC",8A,QZHN62291457,1
771,Do It Again,Steely Dan,72,125,classic rock,Rock,Can't Buy A Thrill,11/1/1972,5:57,66,43,34,0,94,0,0,-15,D Minor,4,3/14/2025,2LXISHBkx8FyoxCBkckh19,Geffen,7A,USMC17347179,1
772,If I Ain't Got You,Alicia Keys,80,118,"r&b, neo soul",R&B,The Diary Of Alicia Keys,12/2/2003,3:48,61,44,60,0,17,10,10,-9,G Major,3,3/14/2025,3XVBdLihbNbxUwZosxcGuJ,J Records,9B,USJAY0300452,1
773,Paper Rings,Taylor Swift,76,104,,,Lover,8/23/2019,3:42,81,72,1,0,87,0,0,-7,A Major,4,3/14/2025,4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,11B,USUG11901478,1
774,Gatluak - Bakermat Remix,"Kronan,Nyaruach,Bakermat",68,118,tropical house,Electronic,Gatluak (Bakermat Remix),7/23/2021,2:19,58,65,8,5,26,0,30,-7,B Minor,4,3/14/2025,0GT2hQQ6mdHeW0AZDl5NlJ,Big Top Amsterdam,10A,NLQ8X1700100,1
775,Good Looking,Suki Waterhouse,82,150,,,Good Looking,8/18/2022,3:34,37,55,8,0,26,0,10,-9,E Major,3,3/14/2025,0j3mqDTK4Z6lvrLzFCUUz6,Sub Pop Records,12B,QZ9Y21712533,1
776,GUCCI (feat. Maliibu Miitch),"Bree Runway,Maliibu Miitch",40,144,,,2000AND4EVA,11/6/2020,3:01,71,55,15,0,56,0,30,-8,B Major,4,3/14/2025,7k8JGPGIQSO2ma5hlv8uzR,EMI,1B,GBUM72003506,1
777,I Like It,"Enrique Iglesias,Pitbull",67,129,"latin pop, latin, ","Latin, Pop",Euphoria (Standard US/Latin version),1/1/2010,3:51,65,94,2,0,70,0,0,-3,A#/B♭ Minor,4,3/14/2025,4nVyHATevhl5RC6Qmoko5H,Universal Music Group International,3A,GBUM71003038,1
778,its alright :),Kevin Walkman,57,158,,,its alright :),8/20/2021,3:22,60,77,9,0,85,20,20,-6,D#/E♭ Major,4,3/14/2025,66nBMj6cwE9V6LxcpQQpFs,Evelon Collective,5B,QZK6K2126777,1
779,Moves Like Jagger - Studio Recording From  The Voice  Performance,"Maroon 5,Christina Aguilera",71,128,"pop, ",Pop,Hands All Over,2010-00-00,3:21,72,76,1,0,62,0,30,-4,B Minor,4,3/14/2025,7LcfRTgAVTs5pQGEQgUEzN,Interscope Records*,10A,USUM71109132,1
780,Landslide,Fleetwood Mac,78,159,"classic rock, soft rock",Rock,Fleetwood Mac,7/11/1975,3:19,41,16,88,0,42,0,10,-22,G Minor,4,3/14/2025,5ihS6UUlyQAfmp48eSkxuQ,Warner Records,6A,USWB19903197,1
781,Lay All Your Love On Me,ABBA,67,133,,,ABBA Gold,1/1/2008,4:32,70,70,2,5,58,0,20,-6,C Major,4,3/14/2025,2245x0g1ft0HC7sf79zbYN,Polar Music International AB,8B,SEAYD8001090,1
782,Ode to a Conversation Stuck in Your Throat,Del Water Gap,69,88,,,Del Water Gap,10/8/2021,3:19,57,80,6,0,62,0,10,-7,B Major,4,3/14/2025,51Lf3l6wx008NdBxCQnD6B,Mom+Pop,1B,USAT22002240,1
783,Daddy Issues,The Neighbourhood,85,85,,,Wiped Out!,10/30/2015,4:20,59,52,7,15,34,0,10,-9,A#/B♭ Major,4,3/14/2025,5E30LdtzQTGqRvNd7l6kG5,Columbia,6B,USSM11506747,1
784,What You Heard,Sonder,78,137,r&b,R&B,What You Heard,2/22/2019,3:58,43,37,55,0,14,0,10,-9,D Minor,4,3/14/2025,3a3dQOO19moXPeTt2PomoT,Sonder Global,7A,US23A1501167,1
785,Crank It Up (feat. Akon),"David Guetta,Akon",38,128,"edm, dance, ",Electronic,Nothing but the Beat 2.0,8/24/2011,3:12,73,88,1,0,64,0,30,-3,B Minor,4,3/14/2025,5wh4F70PB147MGSf03EUwi,Parlophone (France),10A,GB28K1100033,1
786,B.O.T.A. (Baddest Of Them All) - Edit,"Eliza Rose,Interplanetary Criminal",72,137,"house, uk garage, breakbeat",Electronic,B.O.T.A. (Baddest Of Them All),8/12/2022,3:46,73,92,16,66,73,0,10,-7,C Major,4,3/14/2025,39JofJHEtg8I4fSyo7Imft,Warner Records,8B,QZAKB2166405,1
787,Cigarette Daydreams,Cage The Elephant,80,114,modern rock,Rock,Melophobia,10/8/2013,3:28,64,68,8,0,27,0,0,-3,D Major,4,3/14/2025,2tznHmp70DxMyr2XhWLOW0,RCA Records Label,10B,USRC11301169,1
788,Drift,Teejay,59,100,"dancehall, soca","Traditional music, Hip Hop",Drift,6/30/2023,2:43,89,40,84,42,47,10,0,-8,A Minor,4,3/14/2025,0ydoqpTVhaDzjDg7WVcg4m,Warner Records,8A,AEA2M2353114,1
789,all-american bitch,Olivia Rodrigo,74,156,,,GUTS,9/8/2023,2:45,42,70,22,0,45,0,10,-4,F#/G♭ Major,4,3/14/2025,34sOdxWu9FljH84UXdRwu1,Olivia Rodrigo PS,2B,USUG12304093,1
790,We Will Never Die,Pär Hagström,21,119,,,We Will Never Die,8/6/2021,3:37,72,80,1,1,89,0,40,-6,C♯/D♭ Major,4,3/14/2025,3uiNw4DfcdzLjsX7K9EMlf,Epidemic Sound,3B,SE5Q52102636,1
791,Shimmer,Fuel,62,115,post-grunge,Metal,Sunburn,1997-00-00,3:34,48,80,0,0,43,0,10,-6,E Minor,4,3/14/2025,74KI6d8jEM2zwOAo3luayU,Epic,9A,USSM19702935,1
792,Honeymoon,Don Toliver,48,148,,,Love Sick,2/24/2023,3:04,79,64,43,0,30,0,10,-7,D Major,4,3/14/2025,350Chcil9fuAh7OpxwYLi5,Cactus Jack / Atlantic,10B,USAT22301678,1
793,10:35,"Tiësto,Tate McRae",73,120,"edm, trance, big room, house, dance, ",Electronic,10:35,11/3/2022,2:52,70,79,7,0,70,10,10,-6,G#/A♭ Major,4,3/14/2025,6BePGk3eCan4FqaW2X8Qy3,Atlantic Records,4B,CYA112001130,1
794,Mr. Know It All,Kelly Clarkson,45,96,christmas,Jazz,Stronger (Deluxe Version),10/24/2011,3:52,68,81,3,0,44,0,0,-5,F Major,4,3/14/2025,7uRznL3LcuazKpwCTpDltz,RCA Records Label,7B,GBCTA1100219,1
795,THE SHADE,Rex Orange County,74,120,bedroom pop,Pop,WHO CARES?,3/11/2022,3:01,90,51,39,0,73,0,0,-8,F Major,4,3/14/2025,1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,7B,USRC12102927,1
796,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"MIRANI,Munchman,Khundi Panda,MUSHVENOM,GroovyRoom,JUSTHIS",44,140,k-rap,Hip Hop,Show Me the Money 9 Episode 1,11/21/2020,5:35,69,89,7,0,87,10,30,-3,D Minor,4,3/14/2025,2Zr0bYRHwWXi7eM2wuE6Aj,Genie Music Corporation,7A,KRA492001308,1
797,Low,SZA,79,145,r&b,R&B,SOS,12/9/2022,3:01,70,55,43,0,34,0,10,-7,C Minor,4,3/14/2025,2GAhgAjOhEmItWLfgisyOn,Top Dawg Entertainment/RCA Records,5A,USRC12204586,1
798,Achilles Come Down,Gang of Youths,66,180,,,Go Farther In Lightness,8/18/2017,7:02,22,52,44,28,15,0,20,-9,C Minor,3,3/14/2025,22TntnVO3lQNDR5nsvxGRs,Mosy Music,5A,AUBM01700503,1
